City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Bama,NG,79.99,light rain,11.5221,13.6856,UN Humanitarian Hub
555,Turayf,SA,89.85,clear sky,31.6725,38.6637,Turaif
557,Auki,SB,76.57,overcast clouds,-8.7676,160.7034,Auki Motel
563,Naze,JP,77.86,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
565,San Policarpo,PH,79.47,few clouds,12.1791,125.5072,JM Lodge
573,Cururupu,BR,83.26,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
574,Alexandria,EG,77.54,scattered clouds,31.2156,29.9553,Royal Crown Hotel
576,Keti Bandar,PK,82.98,overcast clouds,24.1447,67.4497,Haji laloo memon house
578,Karwar,IN,77.92,overcast clouds,14.8,74.1333,Netalco Connects
581,Liuzhou,CN,80.19,scattered clouds,24.3126,109.3892,Linjiang Inn
584,Eyl,SO,77.2,clear sky,7.9803,49.8164,Amiin Hotel
586,Tikapur,NP,82.08,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
588,Koungheul,SN,85.57,overcast clouds,13.9833,-14.8,
589,Ryotsu,JP,77.65,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
597,Bubaque,GW,79.41,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
601,Kindu,CD,78.89,scattered clouds,-2.95,25.95,Résidence Okanda
603,Umm Kaddadah,SD,88.63,overcast clouds,13.6017,26.6876,
605,Tambun,ID,79.47,clear sky,-6.2641,107.0712,@HOM Premiere Tambun
610,Platteville,US,88.79,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
611,Pirgos,GR,76.68,clear sky,35.1167,25.7178,Daios Cove
612,Temiscaming,CA,79.68,broken clouds,46.7212,-79.0971,Auberge Canadienne
618,Toktogul,KG,77.13,clear sky,41.8708,72.9402,KAGAN
620,Semey,KZ,80.28,overcast clouds,50.4111,80.2275,Grand Hotel Semey
621,Haizhou,CN,78.96,overcast clouds,34.5817,119.1289,Shiji Yuan International Hotel
624,Campbell River,CA,77.38,few clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
625,Sabang,ID,82.58,overcast clouds,5.8933,95.3214,Hotel Citra
627,Lazaro Cardenas,MX,85.96,few clouds,17.9583,-102.2,quinta antigua
630,Manggar,ID,81.03,clear sky,-2.8833,108.2667,Guest Hotel
631,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
637,Fonte Boa,BR,88.97,overcast clouds,-2.4959,-66.2662,
