City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Dongsheng,CN,39.8161,109.9776,69.58,75,100,12.06,overcast clouds
228,Qesarya,IL,32.5189,34.9046,83.23,79,0,6.89,clear sky
229,Sao Filipe,CV,14.8961,-24.4956,74.35,75,77,9.51,broken clouds
230,Pevek,RU,69.7008,170.3133,34.88,91,100,8.63,overcast clouds
231,Kangaatsiaq,GL,68.3065,-53.4641,41.38,86,100,8.5,overcast clouds
232,Baykit,RU,61.67,96.37,64.83,75,34,2.24,scattered clouds
233,Barcelos,PT,41.5388,-8.6151,71.28,90,35,5.12,scattered clouds
234,Kahului,US,20.8947,-156.47,84.22,83,40,20.71,scattered clouds
235,Bageshwar,IN,29.85,79.7667,74.64,95,100,1.68,moderate rain
236,Mogadishu,SO,2.0371,45.3438,76.55,77,91,20.45,light rain
237,Ixtapa,MX,20.7,-105.2,90.23,66,1,13.8,clear sky
238,Kontagora,NG,10.3999,5.4695,73.81,86,100,2.77,overcast clouds
239,Barra Patuca,HN,15.8,-84.2833,84.67,66,71,7.09,broken clouds
240,Nouadhibou,MR,20.931,-17.0347,71.58,88,8,20.71,clear sky
241,Mattru,SL,7.6244,-11.8332,73.22,93,100,2.68,light rain
242,Chokurdakh,RU,70.6333,147.9167,41.11,67,1,9.71,clear sky
243,Darhan,MN,49.4867,105.9228,58.41,76,54,4.43,broken clouds
244,Vanderbijlpark,ZA,-26.7117,27.838,45.36,42,0,4.34,clear sky
245,Izhma,RU,65.0083,53.9113,47.08,95,100,4.63,overcast clouds
246,Yelahanka,IN,13.1075,77.6003,69.89,94,75,11.5,broken clouds
247,Tromso,NO,69.6496,18.957,54.25,93,75,3.44,broken clouds
248,Donskoye,RU,45.4552,41.9741,75.33,47,17,7.83,few clouds
249,San Juan,AR,-31.5375,-68.5364,60.58,28,0,4.38,clear sky
250,Tsiroanomandidy,MG,-18.7667,46.0333,63.16,58,100,3.71,overcast clouds
251,Mitsamiouli,KM,-11.3847,43.2844,76.23,64,99,12.33,overcast clouds
252,Banda Aceh,ID,5.5577,95.3222,79.75,83,98,6.8,overcast clouds
253,Vladyslavivka,UA,45.1667,35.3667,76.14,66,22,9.4,few clouds
254,Dauriya,RU,49.9333,116.8667,53.49,93,4,5.35,clear sky
255,Saint George,US,37.1041,-113.5841,96.39,34,1,4.0,clear sky
256,Shimoda,JP,34.6667,138.95,74.1,87,9,7.74,clear sky
257,Nouna,BF,12.7333,-3.8667,84.67,58,100,9.35,light rain
258,Husavik,IS,66.0449,-17.3389,60.71,64,100,6.26,overcast clouds
259,Inuvik,CA,68.3499,-133.7218,54.46,87,90,10.36,overcast clouds
260,Zhanaozen,KZ,43.3,52.8,85.6,27,0,19.06,clear sky
261,Winona,US,43.9666,-91.7668,89.4,39,1,9.22,clear sky
262,Sisimiut,GL,66.9395,-53.6735,44.28,78,100,3.8,light rain
263,Pocone,BR,-16.2567,-56.6228,97.29,18,2,7.47,clear sky
264,Svetlogorsk,BY,52.6333,29.7333,66.34,66,58,6.04,broken clouds
265,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,78,20,16.11,few clouds
266,Copiapo,CL,-27.3667,-70.3333,56.89,38,0,6.67,clear sky
267,Olden,NO,61.8364,6.8064,73.17,77,65,5.91,broken clouds
268,Gerede,TR,40.8008,32.1969,53.85,94,5,1.88,clear sky
269,Saint-Francois,FR,46.4154,3.9054,68.18,72,0,3.44,clear sky
270,Luderitz,NA,-26.6481,15.1594,67.35,23,100,4.76,overcast clouds
271,Kristiansund,NO,63.1115,7.732,66.25,82,20,12.66,few clouds
272,Scottsbluff,US,41.8666,-103.6672,96.78,31,1,7.0,clear sky
273,Grindavik,IS,63.8424,-22.4338,50.56,87,90,27.63,overcast clouds
274,Todos Santos,MX,23.45,-110.2167,98.01,76,1,11.21,clear sky
